Unicode,Syue MG,kanji50,kanji100,aSyue MG,akyo50,akyo100,pvSyue MG,pvkyo50,pvkyo100
0x0037,1,2,2,3,10,11,2,3,3
0x3082,3,3,3,4,17,27,4,3,6
0x3092,4,3,3,11,20,29,5,5,9
0x30E4,2,2,2,1,13,15,3,4,5
0x30D4,3,3,3,10,26,24,8,4,8
0x306F,3,3,3,8,22,22,4,6,7
0x307F,2,2,2,2,20,22,4,5,5
0x30C6,3,3,3,9,12,17,3,3,5
0x30B6,5,5,5,16,15,31,5,4,6
0x3059,3,2,2,12,18,24,3,5,5
0x3049,3,3,3,13,19,30,6,5,9
0x0055,1,1,1,4,20,26,3,3,6
0x0045,2,4,4,9,24,32,3,6,11
0x004E,1,3,3,5,18,23,4,8,7
0x30CF,2,2,2,1,8,12,2,3,3
0x30BF,3,3,3,8,18,23,4,4,5
0x30ED,1,3,3,9,7,11,4,4,4
0x30DD,5,5,5,11,19,37,8,7,9
0x308B,2,1,1,4,19,14,7,5,6
0x3066,2,1,1,2,12,13,2,2,3
0x3076,6,6,6,1,22,29,8,9,10
0x30A9,3,3,3,8,19,32,4,6,6
0x3050,3,3,3,6,8,8,4,3,5
0x006C,1,1,1,4,6,11,2,2,3
0x0073,1,1,1,1,12,14,2,5,5
0x0063,1,1,1,1,8,16,1,2,3
0x30F2,2,3,3,19,5,13,3,3,3
0x3051,3,3,3,5,16,33,3,3,5
0x3041,3,3,3,4,28,30,5,5,8
0x006B,3,3,3,5,20,28,4,5,7
0x30AA,3,3,3,6,26,39,6,4,8
0x30A1,2,2,2,10,5,11,3,2,2
0x0062,2,2,2,6,14,15,2,3,3
0x0072,2,2,2,5,8,19,2,3,4
0x305A,5,4,4,16,19,29,5,6,9
0x304A,3,3,3,9,20,29,5,5,9
0x30F3,2,2,2,1,8,19,2,3,3
0x30D5,1,1,1,9,11,9,2,2,3
0x30E5,2,2,2,7,6,7,3,3,3
0x3093,2,1,1,2,12,21,4,5,5
0x3083,3,3,3,1,14,10,4,6,5
0x0036,1,1,1,3,16,18,3,1,2
0x3048,3,2,2,2,24,30,5,5,8
0x3058,3,3,3,7,15,13,4,3,3
0x0044,1,2,2,8,22,23,2,3,7
0x0054,2,2,2,5,11,23,2,6,6
0x30B7,3,3,3,2,12,17,3,4,4
0x30C7,5,5,5,9,13,26,5,3,7
0x004D,1,4,4,1,21,37,3,8,9
0x30A8,3,3,3,10,7,13,3,4,3
0x308C,3,2,2,6,27,42,7,9,10
0x30DE,2,2,2,13,14,21,3,4,6
0x30EE,1,2,2,5,8,17,3,3,4
0x3077,5,5,5,3,28,26,8,9,12
0x3067,4,3,3,5,14,18,4,3,5
0x3088,2,2,2,4,11,18,4,3,4
0x30AC,4,4,4,15,21,21,5,5,7
0x30FA,4,5,5,19,10,22,4,4,5
0x3043,2,2,2,1,7,13,3,3,2
0x3053,2,2,2,4,8,12,3,3,3
0x30F1,3,3,3,10,9,27,5,4,6
0x304C,5,5,5,2,21,33,7,7,9
0x305C,5,5,5,9,24,36,7,5,9
0x30A3,2,2,2,5,12,17,4,2,2
0x0070,2,2,2,5,18,31,2,3,3
0x0056,1,2,2,2,16,18,2,4,4
0x0046,2,3,3,8,16,31,4,5,13
0x30C5,5,5,5,1,12,21,5,4,6
0x30B5,3,3,3,12,13,24,3,3,4
0x306E,1,1,1,6,17,17,2,2,2
0x307E,3,3,3,11,27,28,4,4,5
0x3081,2,2,2,5,23,20,3,3,4
0x3091,3,1,1,5,26,29,8,8,10
0x30E7,2,3,3,12,7,7,3,4,4
0x30D7,2,2,2,11,16,15,4,3,5
0x0034,1,2,2,7,20,20,2,5,4
0x3065,3,3,3,5,13,20,3,2,3
0x3075,4,4,4,3,20,19,5,8,8
0x0069,2,2,2,3,8,13,3,4,6
0x0079,2,2,2,1,14,13,2,4,5
0x308A,2,2,2,1,12,14,3,3,5
0x30CE,1,1,1,2,7,13,1,1,1
0x30BE,4,4,4,1,15,18,4,4,5
0x30F8,6,6,6,16,15,34,6,5,7
0x004F,1,1,1,2,18,14,2,2,2
0x30B4,3,4,4,10,13,16,5,4,7
0x30C4,3,3,3,2,13,20,3,4,4
0x0047,2,2,2,8,14,18,3,4,5
0x0057,1,4,4,1,14,22,2,9,9
0x0035,1,2,2,4,18,22,3,4,4
0x307D,6,5,5,10,23,38,7,8,10
0x306D,3,2,2,8,36,33,5,4,7
0x30D6,3,3,3,10,16,15,4,2,5
0x30E6,2,2,2,5,9,12,3,3,3
0x3090,1,1,1,3,22,26,3,4,6
0x3080,5,3,3,5,25,23,8,7,10
0x3074,4,2,2,4,21,32,4,6,9
0x3064,1,1,1,2,11,14,1,1,1
0x0078,2,2,2,1,15,30,2,9,7
0x30DF,3,3,3,3,9,14,3,3,3
0x0068,2,2,2,6,19,25,3,6,6
0x30EF,1,2,2,5,12,17,3,3,3
0x30F9,5,5,5,11,12,39,7,5,8
0x30BD,2,2,2,4,11,12,2,3,3
0x30CD,4,4,4,13,22,45,5,7,6
0x30AB,2,2,2,12,17,18,4,4,5
0x006A,2,2,2,4,10,16,2,6,6
0x007A,1,3,3,6,11,16,3,5,5
0x3089,2,2,2,2,13,16,3,4,5
0x3052,5,5,5,2,17,40,5,4,9
0x3042,3,3,3,4,24,34,4,5,5
0x30F0,4,4,4,15,13,27,6,6,5
0x305B,3,3,3,10,21,27,5,4,6
0x304B,3,3,3,2,16,24,5,6,7
0x0061,2,2,2,4,20,24,5,5,5
0x0071,2,2,2,8,12,20,2,3,3
0x30A2,2,2,2,10,14,10,3,2,3
0x30F5,2,2,2,12,11,9,4,4,5
0x0074,2,2,2,7,13,18,4,3,3
0x0064,2,2,2,7,19,26,2,4,2
0x3078,1,1,1,2,8,12,2,3,3
0x3068,2,2,2,2,21,16,2,3,5
0x30A7,3,3,3,8,13,11,3,3,3
0x0039,1,1,1,2,13,19,2,3,4
0x006D,3,3,3,9,21,28,4,8,9
0x30B8,5,5,5,6,13,24,5,5,6
0x30C8,2,2,2,4,8,12,2,2,3
0x3047,3,2,2,4,18,18,6,6,6
0x3057,1,1,1,4,8,8,2,2,1
0x308E,3,2,2,8,25,25,3,5,8
0x30EC,1,1,1,2,10,15,2,2,2
0x30DC,6,6,6,10,22,35,7,6,9
0x3061,3,2,2,3,21,24,4,4,4
0x3071,4,4,4,7,29,26,7,7,11
0x004B,3,3,3,9,24,35,3,7,7
0x30CA,2,2,2,7,7,17,2,2,3
0x30BA,4,4,4,10,25,34,5,3,7
0x30C1,3,3,3,8,9,15,3,3,4
0x30B1,3,3,3,7,13,13,3,3,4
0x0052,2,3,3,9,22,31,4,8,9
0x0042,1,3,3,11,21,28,4,6,10
0x0030,1,1,1,1,7,9,2,2,2
0x30E3,2,2,2,3,11,18,3,4,4
0x30D3,4,4,4,11,20,26,5,3,6
0x3085,3,2,2,4,25,25,3,5,5
0x3095,3,3,3,6,11,9,5,4,5
0x306A,4,4,4,1,21,27,6,5,5
0x307A,2,2,2,1,13,18,4,5,5
0x30DB,4,4,4,10,16,30,5,5,8
0x30EB,2,2,2,8,9,22,3,3,5
0x308D,2,1,1,2,9,16,3,5,5
0x3070,5,5,5,6,25,27,6,7,9
0x3060,6,6,6,4,16,20,6,6,8
0x004C,1,2,2,4,15,24,2,5,6
0x0043,1,1,1,3,11,15,1,2,1
0x0053,1,1,1,3,17,17,3,4,4
0x30B0,4,4,4,5,19,36,5,4,6
0x30C0,5,5,5,6,23,31,6,5,7
0x3094,4,4,4,4,12,25,4,5,7
0x3084,3,3,3,3,12,17,3,5,4
0x30D2,2,2,2,7,17,20,3,4,4
0x30E2,3,3,3,11,14,21,4,4,4
0x0031,1,1,1,5,10,19,2,3,3
0x305F,4,4,4,4,11,15,5,5,6
0x304F,1,1,1,2,4,3,2,2,2
0x30F4,4,5,5,9,18,30,6,5,7
0x30A6,2,3,3,7,15,26,5,4,5
0x0065,1,2,2,3,17,22,2,2,2
0x0075,2,2,2,7,9,18,3,5,6
0x3069,4,4,4,2,24,21,5,4,7
0x3079,3,3,3,5,11,17,4,4,5
0x006E,2,2,2,6,10,26,3,5,6
0x0038,2,1,1,2,18,24,4,5,5
0x30AF,2,2,2,5,15,28,3,3,4
0x3056,5,5,5,9,15,22,5,5,6
0x3046,2,2,2,3,7,12,3,4,5
0x30C9,4,4,4,6,11,18,4,3,5
0x30B9,2,2,2,13,23,22,3,2,6
0x30CB,2,2,2,6,9,9,2,2,4
0x30BB,2,2,2,7,7,11,4,5,4
0x005A,1,3,3,5,13,16,2,5,5
0x004A,1,1,1,4,13,21,2,2,4
0x3062,5,4,4,7,27,30,5,5,6
0x3072,3,1,1,3,13,28,4,4,5
0x308F,3,2,2,7,24,29,3,5,9
0x306B,3,3,3,2,12,15,4,3,6
0x307B,4,4,4,6,17,31,6,7,8
0x30E0,3,2,2,3,16,11,3,3,7
0x30D0,4,4,4,3,13,18,4,4,5
0x3086,3,2,2,6,17,32,3,3,4
0x3096,3,3,3,1,5,4,3,3,4
0x0033,2,1,1,4,13,19,3,5,11
0x0051,2,2,2,2,23,18,3,4,4
0x0041,2,3,3,4,20,20,5,4,7
0x30C2,5,5,5,10,14,20,5,4,6
0x30B2,5,5,5,6,14,25,5,4,6
0x30A4,2,2,2,3,14,28,2,2,3
0x0077,1,4,4,3,16,33,2,7,7
0x0067,3,3,3,4,20,22,8,4,10
0x30F6,3,3,3,5,8,18,3,3,4
0x304D,4,4,4,3,15,25,5,5,5
0x305D,4,1,1,3,27,15,6,4,6
0x0048,3,3,3,9,22,37,6,9,11
0x0058,2,2,2,1,25,33,2,8,6
0x3044,2,2,2,1,12,9,3,3,3
0x3054,4,4,4,5,11,17,4,4,5
0x30D9,3,3,3,1,13,22,4,3,5
0x30E9,2,2,2,12,4,12,3,3,3
0x30AD,3,3,3,3,15,17,3,3,4
0x0066,2,2,2,8,15,18,3,4,4
0x0076,1,2,2,1,11,14,2,4,4
0x30A5,2,3,3,8,14,17,5,4,5
0x30F7,3,4,4,6,20,28,5,4,5
0x305E,6,3,3,2,32,25,9,7,8
0x304E,6,6,6,4,16,31,7,6,7
0x0059,2,3,3,2,18,34,2,5,5
0x0049,1,1,1,3,8,15,1,5,7
0x3055,3,3,3,3,10,16,4,4,4
0x3045,2,2,2,1,16,9,2,3,5
0x30AE,5,5,5,3,16,23,5,4,6
0x006F,1,1,1,1,17,6,2,2,2
0x30E8,2,3,3,11,11,19,3,4,5
0x30D8,1,1,1,3,10,16,2,2,3
0x30BC,4,4,4,10,12,19,6,6,8
0x30CC,2,2,2,9,13,14,3,4,4
0x3073,5,3,3,2,16,35,5,5,7
0x3063,1,1,1,2,9,9,1,1,1
0x30DA,2,2,2,1,16,25,5,4,6
0x30EA,2,2,2,6,9,16,3,3,4
0x0032,1,1,1,8,22,22,3,5,5
0x307C,6,6,6,8,21,42,7,8,10
0x306C,2,2,2,1,40,19,4,4,7
0x3087,2,2,2,4,11,17,3,5,6
0x30D1,3,3,3,1,14,15,3,5,4
0x30E1,2,2,2,3,12,15,2,3,2
0x30B3,1,2,2,7,10,8,3,3,4
0x30C3,3,3,3,3,5,13,3,3,4
0x0050,1,2,2,8,23,25,4,4,7
