Unicode,k50r,k100r,kt50r,kt100r,s50r,k50p,k100p,kt50p,kt100p,s50p,k50a,k100a,kt50a,kt100a,s50a,k50s,k100s,kt50s,kt100s,s50s
0x660E,0.8802083333,0.7298335467,0.8932291667,0.8245838668,0.6751152074,0.8535353535,0.7364341085,0.8979057592,0.7666666667,0.7270471464,0.9584,0.9585,0.968,0.9667,0.8996,0.9725897921,0.9778717865,0.9815689981,0.9787395596,0.9467570184
0x6599,0.7563739377,0.6423562412,0.7365439093,0.5497896213,0.6983695652,0.6464891041,0.5948051948,0.6896551724,0.4768856448,0.6253041363,0.9072,0.9433,0.916,0.9249,0.894,0.9319981369,0.9664046517,0.9455053563,0.9536987186,0.9277673546
0x6280,0.8219178082,0.7913279133,0.8739726027,0.5772357724,0.7325,0.7042253521,0.6659064994,0.7384259259,0.5047393365,0.6482300885,0.9236,0.9553,0.9364,0.927,0.8936,0.9409836066,0.9683653639,0.9470725995,0.9548693587,0.9242857143
0x60BC,0.8814814815,0.8616352201,0.9358024691,0.7974842767,0.7379807692,0.7986577181,0.7864523536,0.879350348,0.6990077178,0.7487804878,0.9448,0.9704,0.9688,0.9566,0.9152,0.9570405728,0.9797935904,0.9751789976,0.9703422053,0.9505758157
0x7D30,0.7523584906,0.7154566745,0.9009433962,0.6358313817,0.719844358,0.7453271028,0.6584051724,0.8377192982,0.6121758737,0.74,0.9144,0.944,0.9536,0.9345,0.8904,0.947495183,0.9653400394,0.9643545279,0.9623879291,0.9345417925
0x5225,0.8507462687,0.7842261905,0.8776119403,0.5476190476,0.8263157895,0.7702702703,0.6870925684,0.7903225806,0.49797023,0.7621359223,0.946,0.9615,0.9524,0.9325,0.9344,0.96073903,0.974271012,0.9639722864,0.9602272727,0.9537735849
0x76CA,0.8502538071,0.8365019011,0.921319797,0.7287705957,0.6682577566,0.7235421166,0.7284768212,0.8066666667,0.6084656085,0.6181015453,0.9252,0.9625,0.9528,0.9416,0.8752,0.9392212726,0.9732928021,0.9586894587,0.9598306373,0.9168668909
0x5B87,0.8418972332,0.873294347,0.9565217391,0.6471734893,0.7161290323,0.7171717172,0.7554806071,0.8175675676,0.538961039,0.7278688525,0.9504,0.979,0.974,0.9535,0.9316,0.9626168224,0.9847159271,0.9759679573,0.9700642985,0.9621004566
0x514D,0.795389049,0.7609329446,0.8818443804,0.6253644315,0.7642487047,0.71875,0.6266506603,0.7727272727,0.5349127182,0.7583547558,0.9284,0.9525,0.9476,0.937,0.926,0.9498374361,0.9666094052,0.9581978634,0.9599527593,0.9555345317
0x5347,0.8576779026,0.856873823,0.9400749064,0.8286252354,0.7679180887,0.8237410072,0.7711864407,0.8566552901,0.7829181495,0.7211538462,0.9652,0.9789,0.9768,0.9787,0.938,0.9780564263,0.9857429507,0.9811912226,0.9871158517,0.9605799728
