Unicode,k50r,k100r,kt50r,kt100r,s50r,k50p,k100p,kt50p,kt100p,s50p,k50a,k100a,kt50a,kt100a,s50a,k50s,k100s,kt50s,kt100s,s50s
0x30E1,0.8671328671,0.8680555556,0.9090909091,0.7916666667,0.7677419355,0.7654320988,0.8143322476,0.8441558442,0.6765578635,0.6648044693,0.9772,0.9905,0.9852,0.9831,0.9616,0.9838778108,0.994130972,0.9898175647,0.988776771,0.9744136461
0x304F,0.9595959596,0.8781725888,0.9393939394,0.9187817259,0.9166666667,0.871559633,0.808411215,0.8942307692,0.837962963,0.792,0.9928,0.9935,0.9932,0.9949,0.986,0.9941690962,0.9958176069,0.9954185756,0.9964296644,0.9891304348
0x3081,0.8076923077,0.7137870855,0.8671328671,0.664921466,0.8258064516,0.8133802817,0.6693944354,0.821192053,0.6512820513,0.8152866242,0.9568,0.9634,0.9632,0.9604,0.9552,0.9760614273,0.9785721863,0.9756097561,0.9783600297,0.9735159817
0x30B1,0.9371069182,0.8493589744,0.9559748428,0.8493589744,0.9438202247,0.8186813187,0.7066666667,0.8128342246,0.7142857143,0.8316831683,0.9828,0.9843,0.9832,0.9847,0.9824,0.9859034601,0.9886457473,0.9850491243,0.9890586292,0.9853574505
0x30CE,0.8965517241,0.8554913295,0.8850574713,0.8786127168,0.6082474227,0.8210526316,0.8222222222,0.8461538462,0.8216216216,0.5412844037,0.9896,0.9943,0.9904,0.9946,0.9648,0.992954828,0.9967436654,0.9941980937,0.996641905,0.9791926758
0x3052,0.7441860465,0.7247058824,0.911627907,0.5952941176,0.6651982379,0.6324110672,0.5651376147,0.7127272727,0.5173824131,0.5634328358,0.9408,0.9646,0.9608,0.9592,0.9228,0.9592997812,0.9752480418,0.9654266958,0.9753524804,0.9485261769
0x30DE,0.5751633987,0.8052805281,0.9281045752,0.2277227723,0.08045977011,0.4943820225,0.6912181303,0.8255813953,0.2,0.08284023669,0.938,0.9832,0.9836,0.949,0.874,0.9616531743,0.9887594101,0.9872177248,0.9715375889,0.9333619948
0x30A3,0.7941176471,0.8691099476,0.9509803922,0.9267015707,0.3181818182,0.6923076923,0.7443946188,0.850877193,0.7662337662,0.2755905512,0.9772,0.9918,0.9912,0.9932,0.9332,0.9849874896,0.9941890101,0.992910759,0.9944948517,0.9615062762
0x30F3,0.8921568627,0.783919598,0.9019607843,0.7487437186,0.4098360656,0.6893939394,0.6554621849,0.71875,0.5889328063,0.3597122302,0.9792,0.9875,0.9816,0.9846,0.9356,0.9829024187,0.9916335068,0.9849874896,0.9893888379,0.9625735913
0x307D,0.6748466258,0.7854938272,0.8895705521,0.5,0.375,0.6528189911,0.68230563,0.7988980716,0.4682080925,0.34375,0.9108,0.9624,0.9564,0.9308,0.8112,0.9461821527,0.9746578272,0.9664213431,0.9606501283,0.8826815642
0x3060,0.6905829596,0.7772727273,0.8878923767,0.5340909091,0.6607142857,0.6443514644,0.6195652174,0.7122302158,0.4926624738,0.5381818182,0.9384,0.9692,0.958,0.9553,0.9188,0.9626701801,0.9780334728,0.9648660518,0.9746861925,0.9442003515
0x3075,0.8395061728,0.7356687898,0.8703703704,0.6401273885,0.6732026144,0.6476190476,0.5675675676,0.687804878,0.4843373494,0.5336787565,0.96,0.9741,0.966,0.9673,0.944,0.9683490163,0.9818294446,0.9726261762,0.9779062565,0.9616531743
0x30B8,0.8402777778,0.8936170213,0.9444444444,0.7659574468,0.8012048193,0.7159763314,0.6961325967,0.7513812155,0.6486486486,0.5911111111,0.9716,0.986,0.9788,0.9817,0.95,0.9796264856,0.9886807985,0.9808998302,0.9879604857,0.9605826907
0x3088,0.8983957219,0.8537859008,0.9839572193,0.7963446475,0.729468599,0.8275862069,0.7975609756,0.92,0.7475490196,0.719047619,0.9784,0.9861,0.9924,0.9819,0.954,0.9848681366,0.9913694499,0.9930825767,0.9892897993,0.9742695159
0x30E8,0.7411167513,0.4862155388,0.6954314721,0.6090225564,0.328358209,0.712195122,0.4630071599,0.6492890995,0.5841346154,0.4150943396,0.956,0.957,0.9464,0.9671,0.9088,0.9743812419,0.9765649412,0.9678679983,0.9819810436,0.9595476294
0x30AB,0.855,0.7506297229,0.905,0.6901763224,0.7175925926,0.7668161435,0.6436285097,0.7973568282,0.6213151927,0.6512605042,0.9676,0.9736,0.974,0.971,0.9424,0.9773913043,0.9828178694,0.98,0.9826096012,0.9636602452
0x306A,0.8268398268,0.7278481013,0.8398268398,0.6898734177,0.7276422764,0.7126865672,0.6472795497,0.723880597,0.6033210332,0.6215277778,0.9532,0.9683,0.9556,0.9638,0.9296,0.9660643455,0.9802645392,0.9673865139,0.9774301911,0.9516415262
