Unicode,Syue MG,kanji50,kanji100,aSyue MG,akyo50,akyo100,pvSyue MG,pvkyo50,pvkyo100
0x559C,8,12,12,27,43,39,14,12,14
0x679A,8,8,8,20,31,35,8,8,11
0x865E,10,13,13,28,48,47,16,10,21
0x8AA4,10,14,14,38,33,41,19,19,19
0x9F3B,10,14,14,37,45,46,22,13,18
0x864E,7,8,8,24,31,52,13,11,15
0x4ECB,4,4,4,10,27,28,4,4,5
0x4FDD,7,9,9,21,36,40,10,11,14
0x6C70,7,7,7,12,22,39,7,8,11
0x584A,12,13,13,31,48,66,16,12,18
0x7DEF,16,16,16,40,63,68,20,22,22
0x6765,7,7,7,21,25,44,9,9,8
0x5BBF,8,11,11,30,29,37,11,12,15
0x4E00,1,1,1,3,7,6,1,1,1
0x6C60,6,6,6,18,21,36,10,10,11
0x585A,11,12,12,20,53,77,14,12,17
0x4F9B,8,8,8,24,22,33,9,7,10
0x708E,8,8,8,6,20,49,8,9,8
0x4F8B,8,8,8,19,38,50,10,10,13
0x80B2,8,8,8,24,41,41,11,11,14
0x52C5,7,9,9,31,32,50,14,11,14
0x8FFD,6,9,9,28,36,37,12,13,14
0x5E7D,12,9,9,15,34,49,12,16,15
0x6DB2,11,11,11,15,47,57,12,13,14
0x652F,4,4,4,14,23,39,5,4,7
0x7483,13,15,15,36,38,59,17,16,24
0x7E4A,19,17,17,27,66,73,18,21,23
0x653F,9,9,9,21,31,36,10,9,12
0x72A0,17,17,17,48,66,80,19,22,31
0x5C3A,2,4,4,12,21,23,6,5,6
0x66F2,4,6,6,21,17,25,10,7,8
0x5185,3,4,4,14,25,26,6,6,6
0x65A4,4,4,4,10,14,22,5,4,5
0x5974,5,5,5,9,28,33,7,7,12
0x68CB,12,12,12,39,48,60,11,14,13
0x62C9,8,8,8,21,25,50,8,8,12
0x8EAB,6,7,7,19,41,37,9,13,12
0x77B3,13,17,17,50,56,63,18,27,25
0x62B9,8,8,8,25,50,58,8,10,14
0x9759,12,14,14,50,50,73,21,19,22
0x878D,11,16,16,35,47,68,23,18,23
0x63E1,11,12,12,34,51,53,19,16,17
0x8349,7,9,9,30,37,32,11,11,12
0x9006,9,9,9,23,40,40,10,13,14
0x7C92,11,11,11,22,36,44,9,11,13
0x5916,5,5,5,12,19,41,6,10,9
0x5F84,8,8,8,23,35,50,11,9,12
0x8702,11,13,13,33,63,46,15,12,19
0x52E7,12,13,13,35,45,56,19,17,15
0x9A30,17,20,20,43,53,70,28,19,36
0x5238,8,8,8,18,30,51,11,10,15
0x5B9B,6,8,8,19,33,43,15,11,16
0x7530,3,5,5,15,19,28,12,8,6
0x64EC,17,17,17,39,60,80,19,24,28
0x4FBF,7,9,9,29,34,39,12,10,10
0x70BA,9,9,9,12,24,47,13,12,13
0x56DA,3,5,5,13,25,25,6,6,7
0x8096,6,7,7,23,35,34,9,9,13
0x8877,8,9,9,22,34,51,11,9,13
0x5BDD,10,13,13,35,40,42,19,15,18
0x6717,8,10,10,32,28,46,15,16,15
0x5B66,7,8,8,16,28,23,13,12,12
0x75AB,7,9,9,14,46,43,13,14,16
0x6234,15,17,17,37,60,52,20,17,26
0x7656,13,18,18,39,47,48,19,21,20
0x4FB6,5,9,9,21,23,24,11,11,11
0x8A54,8,12,12,30,24,31,16,16,16
0x7A2E,12,14,14,38,64,66,12,19,23
0x5687,15,17,17,42,49,48,21,20,21
0x76F4,6,8,8,27,45,40,10,10,12
0x614B,14,14,14,36,53,71,22,18,25
0x8D77,8,10,10,32,34,46,12,12,13
0x4E86,2,2,2,6,14,19,4,4,4
0x53F2,3,5,5,14,25,22,6,6,7
0x4F1D,7,6,6,8,15,22,8,7,8
0x88D5,10,12,12,22,35,50,13,13,13
0x900F,11,10,10,26,40,65,17,11,15
0x590F,8,10,10,20,40,53,9,16,14
0x7C9B,10,11,11,27,50,59,13,18,13
0x6B27,7,8,8,13,46,47,10,11,14
0x901F,9,10,10,30,45,49,12,11,14
0x7C8B,10,10,10,28,36,43,12,16,16
0x793C,5,5,5,12,31,24,9,10,10
0x822A,8,10,10,28,41,53,15,13,16
0x5F70,12,14,14,33,48,54,19,19,17
0x5275,8,12,12,31,39,60,14,18,17
0x6311,9,9,9,20,44,55,12,12,14
0x7763,11,13,13,31,47,68,14,15,16
0x9803,9,11,11,28,46,48,15,13,17
0x5FEB,7,7,7,19,24,31,9,8,12
0x6301,9,9,9,27,40,50,11,9,12
0x9813,10,13,13,36,49,54,17,17,19
0x6279,8,7,7,26,38,58,11,11,13
0x5E06,4,6,6,19,30,54,11,10,12
0x7136,12,12,12,16,28,50,13,14,15
0x9ED9,13,15,15,34,42,59,18,19,18
0x4F59,7,7,7,18,26,53,8,8,9
0x7126,10,12,12,28,42,52,14,15,18
0x7D39,11,11,11,16,36,48,15,16,19
0x7E41,18,16,16,33,46,60,20,17,27
0x84C4,13,13,13,28,40,53,17,22,22
0x5C31,10,12,12,24,31,33,16,14,16
0x5019,10,10,10,19,41,54,10,13,12
